# For array of size 80000
# Using Shell Sort
# Total number of iterations = 17
# Total number of swaps = 1307597493
# Iteration | Segments | Swaps
   1      65536       7175
   2      32768      16484
   3      16384      24827
   4       8192      40481
   5       4096      56075
   6       2048      77333
   7       1024     109341
   8        512     153444
   9        256     215773
  10        128     318603
  11         64     425957
  12         32     674507
  13         16     874586
  14          8    1279408
  15          4    1583155
  16          2    1934022
  17          1    4242461
